model_tier,model_id,source_folder,threshold,rows,accuracy,macro_f1,spam_precision,spam_recall,safe_precision,safe_recall,false_positive_rate,false_negative_rate,true_safe,true_spam,false_positives,false_negatives,pred_safe,pred_spam,parse_ok_rate,min_macro_f1_bar,min_spam_recall_bar,max_false_positive_rate_bar,clears_zero_shot_bar
E2B,google/gemma-4-E2B-it,all,0.00,400,0.5,0.333333333333,0.5,1,0,0,1,0,200,200,200,0,0,400,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.01,400,0.525,0.386602098467,0.512820512821,1,1,0.05,0.95,0,200,200,190,0,10,390,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.02,400,0.51,0.382073835871,0.505235602094,0.965,0.611111111111,0.055,0.945,0.035,200,200,189,7,18,382,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.03,400,0.51,0.382073835871,0.505235602094,0.965,0.611111111111,0.055,0.945,0.035,200,200,189,7,18,382,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.04,400,0.51,0.382073835871,0.505235602094,0.965,0.611111111111,0.055,0.945,0.035,200,200,189,7,18,382,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.05,400,0.51,0.382073835871,0.505235602094,0.965,0.611111111111,0.055,0.945,0.035,200,200,189,7,18,382,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.06,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.07,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.08,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.09,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.10,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.11,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.12,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.13,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.14,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.15,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.16,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.17,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
