model_tier,tau_low,tau_high,cost,policy_cost,policy_ok,false_negative,hard_false_positive,soft_false_positive,scam_missed_safe,scam_escalated_suspicious,scam_caught_scam,safe_passed_safe,safe_escalated_suspicious,safe_flagged_scam,scam_miss_rate,scam_capture_rate,hard_false_positive_rate,soft_false_positive_rate,suspicious_rate,decisive_rate,n
E4B,0.75,0.95,49.5,51.35,True,19,103,99,19,37,199,798,99,103,0.07450980392156863,0.9254901960784314,0.103,0.099,0.10836653386454183,0.8916334661354581,1255
E4B,0.8,0.95,49.5,51.35,True,19,103,99,19,37,199,798,99,103,0.07450980392156863,0.9254901960784314,0.103,0.099,0.10836653386454183,0.8916334661354581,1255
E4B,0.7,0.95,52.400000000000006,54.35000000000001,True,17,103,148,17,39,199,749,148,103,0.06666666666666667,0.9333333333333333,0.103,0.148,0.14900398406374502,0.850996015936255,1255
E4B,0.65,0.95,52.6,54.550000000000004,True,17,103,150,17,39,199,747,150,103,0.06666666666666667,0.9333333333333333,0.103,0.15,0.150597609561753,0.8494023904382471,1255
E4B,0.55,0.95,53.1,55.2,True,14,103,185,14,42,199,712,185,103,0.054901960784313725,0.9450980392156862,0.103,0.185,0.18087649402390438,0.8191235059760956,1255
E4B,0.6,0.95,53.1,55.2,True,14,103,185,14,42,199,712,185,103,0.054901960784313725,0.9450980392156862,0.103,0.185,0.18087649402390438,0.8191235059760956,1255
E4B,0.45,0.95,53.7,55.95,True,11,103,221,11,45,199,676,221,103,0.043137254901960784,0.9568627450980393,0.103,0.221,0.21195219123505976,0.7880478087649403,1255
E4B,0.9,0.95,53.900000000000006,55.400000000000006,True,26,103,73,26,30,199,824,73,103,0.10196078431372549,0.8980392156862745,0.103,0.073,0.08207171314741035,0.9179282868525896,1255
E4B,0.5,0.95,54.2,56.35,True,13,103,206,13,43,199,691,206,103,0.050980392156862744,0.9490196078431372,0.103,0.206,0.19840637450199203,0.801593625498008,1255
E4B,0.85,0.95,54.400000000000006,55.900000000000006,True,26,103,78,26,30,199,819,78,103,0.10196078431372549,0.8980392156862745,0.103,0.078,0.08605577689243028,0.9139442231075697,1255
E4B,0.75,0.9,56.800000000000004,57.150000000000006,False,19,176,26,19,7,229,798,26,176,0.07450980392156863,0.9254901960784314,0.176,0.026,0.026294820717131476,0.9737051792828685,1255
E4B,0.8,0.9,56.800000000000004,57.150000000000006,False,19,176,26,19,7,229,798,26,176,0.07450980392156863,0.9254901960784314,0.176,0.026,0.026294820717131476,0.9737051792828685,1255
E4B,0.4,0.95,57.1,59.35,True,11,103,255,11,45,199,642,255,103,0.043137254901960784,0.9568627450980393,0.103,0.255,0.23904382470119523,0.7609561752988048,1255
E4B,0.75,0.85,57.300000000000004,57.650000000000006,False,19,181,21,19,7,229,798,21,181,0.07450980392156863,0.9254901960784314,0.181,0.021,0.022310756972111555,0.9776892430278884,1255
E4B,0.8,0.85,57.300000000000004,57.650000000000006,False,19,181,21,19,7,229,798,21,181,0.07450980392156863,0.9254901960784314,0.181,0.021,0.022310756972111555,0.9776892430278884,1255
E4B,0.35,0.95,57.5,59.75,True,11,103,259,11,45,199,638,259,103,0.043137254901960784,0.9568627450980393,0.103,0.259,0.24223107569721117,0.7577689243027889,1255
E4B,0.75,0.8,59.400000000000006,59.400000000000006,False,19,202,0,19,0,236,798,0,202,0.07450980392156863,0.9254901960784314,0.202,0.0,0.0,1.0,1255
E4B,0.7,0.9,59.7,60.150000000000006,False,17,176,75,17,9,229,749,75,176,0.06666666666666667,0.9333333333333333,0.176,0.075,0.06693227091633466,0.9330677290836653,1255
E4B,0.65,0.9,59.900000000000006,60.35000000000001,False,17,176,77,17,9,229,747,77,176,0.06666666666666667,0.9333333333333333,0.176,0.077,0.06852589641434263,0.9314741035856574,1255
E4B,0.7,0.85,60.2,60.650000000000006,False,17,181,70,17,9,229,749,70,181,0.06666666666666667,0.9333333333333333,0.181,0.07,0.06294820717131475,0.9370517928286852,1255
E4B,0.55,0.9,60.400000000000006,61.00000000000001,False,14,176,112,14,12,229,712,112,176,0.054901960784313725,0.9450980392156862,0.176,0.112,0.09880478087649402,0.901195219123506,1255
E4B,0.6,0.9,60.400000000000006,61.00000000000001,False,14,176,112,14,12,229,712,112,176,0.054901960784313725,0.9450980392156862,0.176,0.112,0.09880478087649402,0.901195219123506,1255
